Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.50,-.22,-.29,-.05,-.15,-.17,-.24,-.22,-.30,-.41,-.39,-.28,***,***,-.19,-.19,-.31
1881,-.30,-.22,-.03,.01,.05,-.33,.08,-.04,-.27,-.43,-.36,-.23,-.17,-.19,-.30,.01,-.10,-.36
1882,.26,.21,.02,-.32,-.24,-.30,-.28,-.14,-.23,-.52,-.32,-.67,-.21,-.17,.08,-.18,-.24,-.36
1883,-.57,-.66,-.15,-.29,-.24,-.13,-.04,-.22,-.32,-.16,-.41,-.15,-.28,-.32,-.63,-.23,-.13,-.30
1884,-.15,-.11,-.64,-.59,-.35,-.41,-.41,-.51,-.45,-.44,-.57,-.46,-.42,-.40,-.14,-.53,-.44,-.49
1885,-1.00,-.46,-.24,-.49,-.58,-.45,-.34,-.41,-.40,-.37,-.38,-.11,-.44,-.46,-.64,-.44,-.40,-.38
1886,-.74,-.83,-.71,-.36,-.33,-.37,-.14,-.43,-.33,-.31,-.40,-.21,-.43,-.42,-.56,-.47,-.31,-.35
1887,-1.08,-.70,-.44,-.38,-.25,-.21,-.24,-.55,-.21,-.49,-.27,-.43,-.44,-.42,-.66,-.36,-.33,-.32
1888,-.49,-.61,-.63,-.21,-.15,-.02,.00,-.21,-.19,-.03,.00,-.23,-.23,-.25,-.51,-.33,-.08,-.08
1889,-.28,.29,-.01,.16,-.03,-.06,-.08,-.20,-.29,-.41,-.61,-.54,-.17,-.15,-.07,.04,-.11,-.44
1890,-.63,-.57,-.47,-.25,-.35,-.15,-.23,-.39,-.35,-.10,-.62,-.47,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.46,-.67,-.16,-.35,-.15,-.12,-.12,-.12,-.07,-.28,-.53,-.03,-.26,-.29,-.53,-.22,-.12,-.29
1892,-.50,-.17,-.68,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.83,-.66,-.40,-.35,-.23,-.46,-.26,-.44
1893,-1.50,-.95,-.32,-.29,-.42,-.17,-.14,-.34,-.29,-.28,-.33,-.60,-.47,-.47,-1.04,-.34,-.21,-.30
1894,-.91,-.41,-.21,-.53,-.25,-.40,-.20,-.27,-.32,-.27,-.47,-.35,-.38,-.40,-.64,-.33,-.29,-.35
1895,-.69,-.80,-.49,-.18,-.30,-.21,-.18,-.27,-.06,-.09,-.12,-.22,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.36,-.17,-.48,-.59,-.15,.07,.00,-.10,-.12,.05,-.20,-.20,-.19,-.19,-.25,-.41,-.01,-.09
1897,-.39,-.40,-.38,-.04,.14,-.05,.05,-.06,-.06,-.15,-.25,-.29,-.16,-.15,-.33,-.09,-.02,-.15
1898,.06,-.44,-.79,-.27,-.27,-.08,-.12,-.18,-.17,-.36,-.50,-.26,-.28,-.28,-.22,-.45,-.13,-.34
1899,-.12,-.64,-.58,-.21,-.23,-.35,-.16,-.06,-.04,.05,.36,-.46,-.20,-.19,-.34,-.34,-.19,.13
1900,-.61,-.13,.06,-.09,-.03,-.10,-.11,-.08,-.02,.23,-.12,-.02,-.09,-.12,-.40,-.02,-.10,.03
1901,-.33,-.09,.28,.11,-.10,.02,.02,-.15,-.27,-.31,-.19,-.39,-.12,-.09,-.15,.10,-.04,-.25
1902,-.13,-.02,-.36,-.36,-.39,-.39,-.32,-.29,-.33,-.32,-.46,-.59,-.33,-.31,-.18,-.37,-.33,-.37
1903,-.22,.12,-.16,-.45,-.43,-.45,-.41,-.55,-.48,-.45,-.40,-.56,-.37,-.37,-.23,-.35,-.47,-.44
1904,-.74,-.60,-.45,-.49,-.43,-.48,-.58,-.54,-.63,-.38,-.08,-.33,-.48,-.50,-.63,-.46,-.53,-.36
1905,-.40,-.81,-.22,-.45,-.28,-.27,-.21,-.23,-.18,-.27,.09,-.16,-.28,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.20,.05,-.24,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.41,-.13,-.18,-.27
1907,-.57,-.72,-.29,-.44,-.58,-.51,-.39,-.38,-.40,-.19,-.55,-.58,-.47,-.42,-.42,-.44,-.43,-.38
1908,-.54,-.27,-.69,-.46,-.28,-.29,-.35,-.56,-.30,-.44,-.63,-.55,-.45,-.45,-.46,-.48,-.40,-.46
1909,-.93,-.44,-.66,-.64,-.49,-.52,-.45,-.36,-.37,-.34,-.11,-.57,-.49,-.49,-.64,-.60,-.44,-.27
1910,-.34,-.36,-.48,-.40,-.30,-.44,-.38,-.40,-.42,-.31,-.61,-.81,-.44,-.42,-.42,-.40,-.41,-.45
1911,-.69,-.58,-.62,-.45,-.45,-.34,-.38,-.43,-.38,-.18,-.19,-.30,-.42,-.46,-.70,-.51,-.38,-.25
1912,-.35,-.17,-.61,-.16,-.13,-.14,-.52,-.77,-.80,-.85,-.51,-.56,-.46,-.44,-.27,-.30,-.48,-.72
1913,-.56,-.64,-.47,-.50,-.54,-.49,-.52,-.46,-.41,-.39,-.14,.11,-.42,-.47,-.59,-.50,-.49,-.32
1914,.17,-.10,-.35,-.39,-.18,-.22,-.33,-.27,-.29,.00,-.22,-.05,-.19,-.17,.06,-.31,-.27,-.17
1915,-.26,-.09,-.24,.07,-.02,-.12,-.10,-.16,-.21,-.27,-.03,-.24,-.14,-.12,-.14,-.06,-.13,-.17
1916,-.09,-.16,-.38,-.34,-.37,-.50,-.34,-.37,-.49,-.35,-.46,-1.12,-.42,-.34,-.17,-.36,-.40,-.43
1917,-.52,-.68,-.74,-.64,-.72,-.48,-.32,-.40,-.30,-.63,-.31,-1.06,-.57,-.57,-.77,-.70,-.40,-.42
1918,-.69,-.46,-.26,-.59,-.49,-.46,-.34,-.37,-.25,-.04,-.22,-.56,-.39,-.44,-.74,-.44,-.39,-.17
1919,-.38,-.40,-.37,-.23,-.42,-.39,-.34,-.30,-.19,-.09,-.48,-.56,-.35,-.35,-.45,-.34,-.35,-.26
1920,-.15,-.29,.00,-.21,-.21,-.26,-.26,-.31,-.35,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.28,-.40
1921,.18,-.09,-.11,-.17,-.25,-.14,-.03,-.29,-.17,.00,-.11,-.12,-.11,-.16,-.21,-.17,-.15,-.09
1922,-.39,-.63,-.11,-.16,-.18,-.15,-.28,-.37,-.42,-.30,-.12,-.16,-.27,-.27,-.38,-.15,-.26,-.28
1923,-.17,-.47,-.39,-.53,-.39,-.24,-.30,-.29,-.17,.06,.16,.11,-.22,-.24,-.26,-.43,-.27,.01
1924,-.27,-.20,.02,-.26,-.06,-.19,-.22,-.27,-.22,-.24,.12,-.36,-.18,-.14,-.12,-.10,-.23,-.11
1925,-.26,-.36,-.22,-.16,-.21,-.26,-.26,-.20,-.05,-.10,.23,.23,-.14,-.19,-.33,-.20,-.24,.03
1926,.54,.19,.38,-.13,-.23,-.20,-.20,-.06,-.03,.06,.17,-.30,.02,.06,.32,.01,-.15,.07
1927,-.28,-.07,-.47,-.26,-.14,-.14,-.08,-.16,.03,.25,.10,-.37,-.13,-.13,-.22,-.29,-.13,.13
1928,.26,.09,-.22,-.32,-.17,-.32,-.11,-.19,-.15,-.09,.04,-.03,-.10,-.13,-.01,-.24,-.21,-.07
1929,-.55,-.78,-.18,-.35,-.28,-.39,-.35,-.20,-.20,-.02,-.02,-.65,-.33,-.28,-.46,-.27,-.31,-.08
1930,-.12,-.18,.12,-.15,-.19,-.12,-.03,.02,-.02,.03,.45,.09,-.01,-.07,-.32,-.07,-.04,.15
1931,.02,-.22,-.05,-.20,-.13,.15,.08,.10,.18,.37,.26,.11,.06,.05,-.04,-.13,.11,.27
1932,.40,-.18,-.20,.10,-.10,-.14,-.14,-.07,.11,.14,-.32,-.21,-.05,-.02,.11,-.07,-.12,-.02
1933,-.17,-.30,-.30,-.16,-.25,-.31,-.13,-.14,-.27,-.16,-.23,-.54,-.25,-.22,-.23,-.24,-.19,-.22
1934,-.13,.33,-.26,-.28,.09,-.01,-.03,-.09,-.13,.13,.27,.18,.01,-.05,-.11,-.15,-.05,.09
1935,-.40,.57,.04,-.35,-.28,-.14,-.03,-.06,-.05,.12,-.31,-.16,-.09,-.06,.12,-.20,-.08,-.08
1936,-.28,-.49,-.11,-.05,.00,.04,.09,.03,.07,.08,.15,.15,-.03,-.05,-.31,-.05,.05,.10
1937,.09,.24,-.23,-.06,.12,.15,.15,.16,.29,.33,.24,.00,.12,.14,.16,-.06,.15,.29
1938,.36,.29,.35,.32,.03,-.07,-.03,.08,.15,.31,.30,-.13,.16,.17,.21,.23,.00,.26
1939,.03,-.01,-.24,-.08,.01,.00,.05,.08,.12,.07,.25,.78,.09,.01,-.03,-.10,.05,.15
1940,-.10,.14,.03,.28,.16,.16,.15,.07,.26,.28,.30,.36,.17,.21,.27,.16,.13,.28
1941,.18,.47,.12,.13,.23,.21,.25,.19,.10,.50,.18,.19,.23,.24,.33,.16,.22,.26
1942,.40,-.09,.00,.09,.16,.10,-.01,-.08,.11,.28,.26,.27,.12,.12,.17,.08,.00,.21
1943,-.09,.38,-.01,.31,.23,-.07,-.02,.10,.13,.46,.36,.37,.18,.17,.19,.18,.00,.32
1944,.62,.43,.31,.18,.24,.17,.14,.17,.36,.44,.19,.00,.27,.30,.47,.24,.16,.33
1945,.11,-.05,.10,.29,.08,.08,.07,.28,.20,.24,.09,-.21,.11,.12,.02,.16,.14,.18
1946,.34,.09,.12,.32,.03,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.07,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.00,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.18,.19,-.02,.19
1948,.30,-.14,-.27,-.02,.17,.05,.01,.03,-.03,.08,.04,-.39,-.01,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.06,-.18,-.19,-.09,-.06,-.34,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.06,.17,-.02,.08,.22,.34,.29,.08,.38,.05,.00,-.33,.02,.09,.23
1952,.17,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.02
1953,.24,.38,.26,.41,.25,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,.00,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.07,-.27,-.03,-.08
1956,-.04,-.31,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.26,-.22,-.29
1957,-.13,-.05,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.13,.13,.19,.20,.10,.04
1960,.15,.42,-.40,-.13,.03,.18,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.03,-.04,.07,-.17,.08,.13,.29,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.07
1963,.07,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.22,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.07,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.02,.30,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.05,-.08,-.08,-.04,-.01,-.22,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.46,-.20,.04,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.02,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.12,-.15,-.10,-.05,-.09,-.26,-.04,-.20,-.04,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.31,.19,.09,.16,.04,.03,-.08,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.25,-.35,.03,-.10,-.19,-.18,-.13,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.14,-.08,-.18,-.30,-.22,-.06,-.06,-.01,.04,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.27,-.21,-.13,-.51,-.32,-.26,-.21,-.21,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.12,-.02,.27,.02,.12,.09,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.08,-.14,-.01,.00,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.07,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.05,.22
1980,.21,.40,.07,.15,.25,.18,.13,.09,.10,.11,.20,.09,.17,.20,.38,.16,.14,.14
1981,.79,.62,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.18,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.05,.07,.19,.11,-.01,-.02
1983,.55,.35,.42,.06,.05,.11,.20,.25,.26,.12,.49,.11,.25,.27,.42,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.09,.06,-.04,.08,-.10,-.42,.04,.08,.15,.11,.08,-.02
1985,.07,-.29,.00,-.04,.09,.00,-.08,-.02,.03,.02,.02,.16,.00,-.05,-.21,.02,-.03,.02
1986,.36,.31,.26,.15,.20,.14,-.02,.04,-.02,.09,.04,.06,.13,.14,.28,.20,.05,.03
1987,.24,.50,.00,.07,.23,.16,.25,.27,.39,.22,.10,.50,.24,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.05,.43,.37,.38,.52,.45,.36,.18
1989,.08,.39,.45,.32,.22,.24,.31,.26,.23,.25,.11,.33,.27,.27,.30,.33,.27,.20
1990,.47,.54,1.16,.71,.50,.47,.32,.40,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.45,.56,.33,.47,.43,.35,.35,.29,.32,.20,.41,.42,.51,.45,.42,.32
1992,.60,.49,.54,.16,.19,.04,-.10,-.08,-.18,-.18,-.09,.21,.13,.13,.43,.29,-.05,-.15
1993,.38,.52,.38,.23,.31,.22,.12,.02,-.07,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.33,-.05,.49,.48,.39,.41,.33,.32,.32,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.53,.43,.59,.57,.26,.58,.58,.76,.57,.47,.53
1996,.26,.54,.32,.17,.35,.25,.29,.18,.03,.04,.35,.34,.26,.25,.36,.28,.24,.14
1997,.36,.59,.74,.48,.42,.48,.41,.48,.51,.63,.59,.51,.52,.50,.43,.55,.46,.58
1998,.62,1.03,.71,.87,.66,.72,.74,.72,.61,.53,.48,.73,.70,.68,.72,.75,.73,.54
1999,.59,1.00,.29,.53,.36,.34,.35,.30,.40,.39,.53,.66,.48,.48,.77,.39,.33,.44
2000,.38,.89,.83,.88,.54,.43,.41,.47,.36,.29,.19,.27,.50,.53,.64,.75,.44,.28
2001,.56,.45,.75,.59,.68,.51,.63,.68,.56,.60,.97,.65,.64,.60,.43,.68,.61,.71
2002,1.01,1.14,1.11,.51,.51,.68,.66,.55,.62,.53,.78,.42,.71,.73,.93,.71,.63,.65
2003,.92,.56,.66,.60,.71,.54,.68,.86,.78,.98,.66,.97,.74,.70,.63,.66,.69,.81
2004,.66,.91,.86,.70,.52,.46,.49,.55,.59,.70,.98,.44,.65,.70,.85,.69,.50,.76
