Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.02,.05,-.03,-.14,-.26,-.18,.05,-.06,-.16,-.02,.04,-.06,***,***,-.04,-.13,-.08
1881,-.10,-.07,.08,.08,.08,-.06,-.09,-.04,-.05,-.02,-.02,.08,-.01,-.01,-.04,.08,-.06,-.03
1882,.05,.06,.06,-.03,-.05,-.16,-.05,.00,-.05,.02,-.02,-.08,-.02,-.01,.07,-.01,-.07,-.02
1883,-.03,-.09,-.10,-.08,-.11,-.03,-.09,-.06,-.11,-.07,-.05,-.07,-.08,-.08,-.07,-.10,-.06,-.08
1884,-.10,-.06,-.11,-.22,-.33,-.30,-.22,-.08,-.12,-.07,-.11,-.16,-.16,-.15,-.08,-.22,-.20,-.10
1885,-.21,-.24,-.31,-.37,-.33,-.43,-.34,-.23,-.20,-.14,-.12,-.10,-.25,-.26,-.20,-.34,-.34,-.15
1886,-.15,-.21,-.18,-.21,-.16,-.33,-.22,-.20,-.15,-.25,-.16,-.30,-.21,-.19,-.16,-.18,-.25,-.19
1887,-.38,-.45,-.28,-.32,-.36,-.29,-.28,-.18,-.30,-.23,-.26,-.24,-.30,-.30,-.37,-.32,-.25,-.26
1888,-.21,-.14,-.22,-.20,-.29,-.32,-.21,-.11,-.05,.05,.06,.14,-.12,-.16,-.20,-.24,-.21,.02
1889,.07,.02,.12,.02,.01,-.13,-.07,-.21,-.18,-.11,-.07,-.05,-.05,-.03,.08,.05,-.14,-.12
1890,-.22,-.33,-.34,-.35,-.44,-.33,-.33,-.40,-.38,-.40,-.26,-.17,-.33,-.32,-.20,-.38,-.35,-.35
1891,-.22,-.26,-.21,-.20,-.18,-.29,-.24,-.23,-.24,-.16,-.11,-.06,-.20,-.21,-.22,-.20,-.25,-.17
1892,-.10,-.07,-.15,-.22,-.24,-.39,-.26,-.22,-.13,-.01,-.04,-.12,-.16,-.16,-.07,-.20,-.29,-.06
1893,-.14,-.18,-.13,-.25,-.25,-.33,-.15,-.18,-.17,-.09,-.04,-.03,-.16,-.17,-.15,-.21,-.22,-.10
1894,-.15,-.16,-.24,-.36,-.35,-.40,-.27,-.21,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.17,-.25,-.24,-.21,-.15,-.07,-.18,-.12,-.21,-.06,-.15,-.16,-.09,-.22,-.14,-.17
1896,-.09,-.07,-.04,-.02,-.15,-.29,-.05,.00,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.11,.00,-.16,-.16,-.08,-.12,-.10,-.10,-.10,-.13,-.06,-.04,.09,-.02,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.17,-.22,-.27,-.15,-.11,-.04,-.11,-.09,-.06,-.14,-.15,-.18,-.18,-.18,-.08
1900,-.10,.03,-.04,-.08,-.13,-.09,-.12,-.08,-.06,-.01,.01,-.10,-.06,-.06,-.05,-.08,-.09,-.02
1901,-.11,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.16,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.26,-.18
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.23,-.26,-.25,-.23,-.22,-.21,-.16,-.20,-.25,-.25
1903,-.24,-.23,-.30,-.36,-.36,-.39,-.27,-.36,-.50,-.48,-.44,-.46,-.37,-.35,-.23,-.34,-.34,-.47
1904,-.52,-.57,-.57,-.51,-.59,-.48,-.43,-.44,-.47,-.39,-.26,-.32,-.46,-.47,-.51,-.56,-.45,-.37
1905,-.28,-.36,-.21,-.22,-.29,-.27,-.30,-.17,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.24,-.20
1906,.01,-.04,-.17,-.15,-.27,-.28,-.19,-.23,-.32,-.23,-.35,-.33,-.21,-.19,-.04,-.19,-.23,-.30
1907,-.28,-.30,-.25,-.29,-.34,-.32,-.30,-.29,-.28,-.25,-.36,-.35,-.30,-.30,-.30,-.29,-.30,-.30
1908,-.35,-.39,-.40,-.41,-.46,-.47,-.34,-.35,-.41,-.43,-.42,-.43,-.40,-.40,-.36,-.42,-.39,-.42
1909,-.51,-.46,-.41,-.53,-.59,-.51,-.45,-.32,-.41,-.46,-.53,-.55,-.48,-.47,-.47,-.51,-.43,-.46
1910,-.50,-.45,-.52,-.45,-.39,-.32,-.31,-.34,-.34,-.51,-.53,-.54,-.43,-.43,-.50,-.45,-.32,-.46
1911,-.54,-.57,-.59,-.62,-.58,-.66,-.46,-.45,-.43,-.34,-.23,-.12,-.47,-.50,-.55,-.60,-.52,-.33
1912,-.18,-.14,-.16,-.20,-.29,-.33,-.32,-.31,-.33,-.30,-.27,-.29,-.26,-.25,-.15,-.22,-.32,-.30
