Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.06,-.36,-.13,-.03,-.80,-.47,-.27,-.14,-.11,-.06,.05,.68
1881,-.09,-.17,-.01,-.34,.10,-.08,-.91,-.45,-.20,.11,.10,-.08,-.07,.60
1882,-.11,-.21,-.02,-.31,-.05,.00,-1.40,-.27,-.15,-.04,-.05,-.01,.04,.63
1883,-.18,-.28,-.08,-.34,-.17,-.02,-.16,-.55,-.25,-.18,-.16,-.06,.07,.50
1884,-.29,-.42,-.16,-.60,-.15,-.15,-1.28,-.64,-.47,-.13,-.17,-.21,-.02,.65
1885,-.34,-.44,-.25,-.65,-.13,-.29,-1.49,-.68,-.46,-.06,-.21,-.35,-.15,.83
1886,-.32,-.43,-.21,-.57,-.20,-.23,-1.57,-.50,-.40,-.21,-.19,-.22,-.20,.59
1887,-.37,-.44,-.30,-.53,-.30,-.29,-1.75,-.51,-.30,-.29,-.31,-.30,-.26,.32
1888,-.18,-.23,-.12,-.42,.10,-.30,-1.29,-.43,-.24,.07,.13,-.33,-.22,.16
1889,-.11,-.17,-.05,-.29,.08,-.17,-.67,-.22,-.27,.02,.14,-.17,-.15,.45
1890,-.35,-.38,-.33,-.45,-.37,-.23,-1.12,-.56,-.27,-.27,-.47,-.19,-.27,.15
1891,-.23,-.26,-.20,-.42,-.08,-.23,-1.10,-.34,-.35,.00,-.17,-.20,-.24,-.15
1892,-.28,-.40,-.16,-.43,-.30,-.09,-1.13,-.67,-.16,-.34,-.27,.00,-.21,.09
1893,-.31,-.47,-.16,-.49,-.37,-.06,-.60,-.55,-.46,-.43,-.31,.05,-.20,-.04
1894,-.30,-.38,-.22,-.31,-.34,-.25,-.90,-.33,-.18,-.49,-.18,-.16,-.35,-.37
1895,-.23,-.30,-.15,-.40,-.08,-.27,-.65,-.53,-.26,-.15,.00,-.21,-.31,-.58
1896,-.11,-.19,-.03,-.34,.10,-.16,-.84,-.37,-.21,.05,.15,-.17,-.13,.26
1897,-.11,-.16,-.06,-.34,.17,-.24,-.51,-.47,-.23,.14,.21,-.21,-.27,.41
1898,-.27,-.28,-.27,-.35,-.22,-.27,-1.14,-.25,-.23,-.18,-.26,-.29,-.21,.38
1899,-.17,-.20,-.14,-.23,-.11,-.19,-1.00,-.10,-.14,-.15,-.07,-.16,-.22,.59
1900,-.08,-.09,-.06,-.20,.18,-.31,-.52,-.16,-.15,.09,.27,-.30,-.29,.28
1901,-.15,-.12,-.18,-.15,-.03,-.31,-.35,-.10,-.14,-.06,.00,-.28,-.33,.26
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.50,-.50,-.32,-.02,-.04,-.29,-.43,-.04
1903,-.37,-.37,-.37,-.46,-.28,-.39,-.21,-.42,-.56,-.23,-.33,-.36,-.40,-.49
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.20,-.59,-.55,-.43,-.49,-.38,-.49,-1.32
1905,-.26,-.28,-.23,-.40,-.08,-.36,-.02,-.23,-.62,-.11,-.05,-.34,-.37,-.34
1906,-.22,-.23,-.21,-.25,-.20,-.24,-.25,-.06,-.39,-.21,-.18,-.21,-.22,-.71
1907,-.39,-.47,-.30,-.58,-.31,-.30,-.54,-.72,-.51,-.30,-.31,-.22,-.37,-1.20
1908,-.42,-.45,-.40,-.47,-.43,-.36,-.19,-.54,-.51,-.42,-.46,-.30,-.48,.67
1909,-.48,-.49,-.48,-.52,-.48,-.45,-.70,-.62,-.43,-.44,-.52,-.38,-.52,-.57
1910,-.43,-.44,-.43,-.41,-.49,-.39,-.57,-.24,-.49,-.48,-.50,-.34,-.45,.16
1911,-.44,-.42,-.47,-.41,-.43,-.48,-.23,-.42,-.46,-.43,-.44,-.44,-.52,.05
1912,-.37,-.46,-.26,-.59,-.20,-.37,-.48,-.79,-.50,-.28,-.11,-.37,-.29,-1.63
1913,-.35,-.42,-.27,-.43,-.28,-.35,-.44,-.33,-.50,-.40,-.16,-.29,-.40,-1.04
1914,-.15,-.19,-.12,-.24,-.07,-.18,-.31,-.16,-.28,-.11,-.03,-.16,-.18,-.36
1915,-.14,-.14,-.14,-.22,-.02,-.22,-.55,-.17,-.18,-.02,-.03,-.16,-.23,-1.98
1916,-.36,-.42,-.31,-.36,-.45,-.23,-.46,-.54,-.23,-.49,-.41,-.24,-.17,-1.05
1917,-.46,-.57,-.36,-.49,-.64,-.19,-.76,-.50,-.43,-.68,-.59,-.23,-.09,.06
1918,-.30,-.39,-.21,-.40,-.34,-.14,-.98,-.27,-.34,-.39,-.29,-.06,-.22,-.28
1919,-.28,-.35,-.20,-.43,-.20,-.22,-.67,-.56,-.30,-.23,-.18,-.15,-.32,.20
1920,-.27,-.30,-.24,-.25,-.25,-.32,.00,-.21,-.35,-.37,-.13,-.19,-.48,-1.14
1921,-.19,-.11,-.27,.02,-.25,-.31,.01,.17,-.09,-.29,-.21,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.32,-.28,-.26,-.40,-.13,-.32,-.31,-.25,-.28,-.28
1923,-.26,-.22,-.31,-.15,-.29,-.34,.22,-.15,-.26,-.32,-.27,-.27,-.41,-.55
1924,-.27,-.18,-.35,-.12,-.26,-.43,.55,-.25,-.23,-.27,-.25,-.40,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.38,-.04,.18,-.18,-.28,-.20,-.25,-.54,-.86
1926,-.11,.02,-.21,.02,.02,-.40,.58,.15,-.22,.01,.03,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.13,-.16,-.39,.04,-.22,-.12,-.14,-.17,-.31,-.45,-1.38
1928,-.20,-.10,-.29,-.07,-.15,-.39,.67,-.17,-.22,-.15,-.15,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.27,-.45,.12,-.62,-.38,-.27,-.28,-.43,-.44,-1.08
1930,-.15,-.01,-.29,.04,-.10,-.42,.51,.04,-.10,-.08,-.12,-.33,-.47,-2.60
1931,-.09,.06,-.21,.01,.09,-.42,.57,-.04,-.13,.12,.06,-.42,-.40,-.41
1932,-.15,-.05,-.25,.03,-.15,-.35,.46,.19,-.21,-.17,-.13,-.21,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.47,-.12,-.27,-.27,-.22,-.48,-1.15
1934,-.12,.01,-.25,.18,-.24,-.26,.89,.31,-.12,-.24,-.23,-.15,-.38,-.57
1935,-.19,-.09,-.29,-.05,-.17,-.38,.33,-.05,-.16,-.15,-.19,-.30,-.41,-1.71
1936,-.14,-.03,-.26,-.02,-.12,-.30,.41,.11,-.25,-.04,-.20,-.26,-.32,-.03
1937,-.02,.12,-.17,.20,-.04,-.22,1.23,.03,-.02,.01,-.10,-.19,-.25,.36
1938,.00,.16,-.18,.39,-.22,-.10,1.52,.39,.03,-.17,-.26,-.06,-.11,-.87
1939,-.02,.09,-.12,.22,-.12,-.12,.55,.28,.08,-.11,-.12,-.04,-.18,-1.60
1940,.13,.17,.09,.11,.28,-.07,.99,-.02,-.09,.27,.29,.03,-.20,-.06
1941,.19,.23,.17,.02,.49,-.05,.02,-.10,.08,.54,.44,.03,-.15,-.47
1942,.07,.12,.01,.13,.08,-.01,.73,-.07,.06,.11,.04,.05,-.05,-.90
1943,.09,.18,-.01,.37,-.09,.04,1.43,.28,.11,-.11,-.06,.07,.00,1.14
1944,.20,.27,.14,.38,.19,.05,1.18,.47,.09,.11,.27,.18,-.09,-.96
1945,.09,.11,.09,.11,.17,-.03,.65,-.02,.04,.10,.24,.03,.00,-1.80
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.02,-.07,-.22,-.24,-.19
1947,-.03,.08,-.13,.16,-.06,-.16,1.08,-.13,.04,-.03,-.09,-.19,-.08,-.23
1948,-.11,-.01,-.20,.13,-.18,-.24,.13,.32,.01,-.23,-.13,-.19,-.19,-1.40
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.14,-.17,-.15,-2.00
1950,-.17,-.15,-.20,-.05,-.29,-.14,.18,-.31,.04,-.30,-.28,-.06,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.02,-.09,.27,-.10,.19,-.01,.04,-.10,-.02,-.52
1953,.08,.24,-.08,.36,.07,-.18,1.03,.35,.14,.08,.06,-.08,-.24,-1.12
1954,-.13,-.02,-.26,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.18,-.20,-.82
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.23,-.29,-.38,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.09,-.28,-.37,-.14,.03,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.12,.26,.15,-.09,-.08,-.53
1959,.03,.13,-.06,.16,.07,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.08,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.09,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.11,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.27,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.20,-.13,-.06,.07,.07,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.37,-.47,-.25,.06,.27,.16,-.02,.45
1973,.16,.09,.23,.10,.19,.18,.06,.27,.02,.08,.30,.22,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.06,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.12,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.09,.22,.22,.31,.28
1978,.07,.02,.12,-.03,.07,.16,-.16,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.25,.27,.30,.33,-.20
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.32,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.09,.21,.15,.28,.38,.61
1982,.14,.05,.23,-.07,.27,.18,-.40,.10,-.08,.24,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.28,.58,.21,.41,.05
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.13,.07,.30,.16,.32,.51
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.17,.28,.25,.25,-.10
1987,.32,.24,.40,.04,.58,.25,-.36,.13,.12,.54,.62,.32,.25,.01
1988,.39,.37,.41,.40,.37,.39,.59,.57,.24,.32,.43,.38,.20,.88
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.06,.19,.36,.30,.33
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.37,.36,.38,.37,.35
1991,.41,.41,.40,.47,.36,.40,.75,.66,.26,.32,.41,.31,.29,.96
1992,.22,.13,.31,.10,.28,.27,-.17,.44,-.03,.19,.37,.20,.33,.40
1993,.23,.19,.28,.13,.32,.22,.55,.29,-.11,.28,.36,.27,.39,-.30
1994,.31,.37,.26,.43,.31,.20,.34,.50,.42,.27,.34,.27,.23,-.04
1995,.45,.58,.32,.70,.42,.23,1.31,.98,.32,.40,.45,.29,.15,.16
1996,.33,.26,.40,.23,.31,.45,.77,.17,.10,.30,.33,.33,.28,1.28
1997,.46,.52,.42,.53,.51,.34,.76,.90,.23,.49,.52,.42,.36,.02
1998,.61,.70,.51,.78,.69,.32,.86,.94,.66,.59,.79,.39,.31,.11
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.15,.25,.47,.19,.00
2000,.39,.50,.29,.70,.24,.29,.96,.80,.55,.20,.29,.42,.10,.26
2001,.54,.64,.43,.80,.42,.42,1.06,.86,.68,.39,.45,.59,.24,.25
2002,.63,.71,.55,.82,.59,.48,1.24,1.00,.58,.54,.64,.50,.31,.77
2003,.62,.74,.50,.84,.64,.37,1.49,.98,.54,.60,.67,.45,.24,.37
2004,.53,.65,.42,.72,.55,.32,.46,.95,.66,.55,.55,.48,.23,-.04
2005,.68,.85,.50,1.01,.62,.42,1.98,1.22,.57,.62,.63,.49,.18,.65
2006,.64,.81,.46,.98,.56,.40,1.73,1.06,.70,.56,.55,.52,.19,.43
2007,.66,.84,.48,1.12,.46,.47,2.06,1.32,.69,.44,.49,.50,.07,1.24
2008,.54,.68,.41,.91,.38,.40,1.52,1.07,.61,.33,.42,.53,.09,.62
2009,.66,.72,.59,.77,.68,.51,1.40,.60,.68,.64,.71,.60,.15,.97
2010,.72,.90,.55,1.02,.68,.48,2.23,.86,.74,.71,.65,.64,.20,.54
2011,.61,.74,.47,.98,.37,.56,2.33,.93,.58,.38,.36,.64,.18,1.08
2012,.65,.80,.49,1.03,.52,.43,2.15,.92,.74,.47,.58,.56,.19,.44
2013,.67,.79,.56,.94,.58,.54,1.53,1.04,.69,.57,.58,.63,.22,.86
2014,.75,.91,.58,1.07,.67,.52,2.04,1.13,.73,.68,.65,.73,.18,.56
2015,.90,1.17,.63,1.31,.95,.41,2.00,1.48,.99,.96,.94,.75,.18,-.31
2016,1.01,1.30,.73,1.54,1.01,.49,3.24,1.43,1.07,.94,1.07,.68,.25,.40
2017,.92,1.17,.67,1.39,.81,.60,2.52,1.38,1.04,.86,.77,.76,.35,.55
2018,.85,1.03,.66,1.24,.67,.68,2.15,1.08,1.06,.71,.63,.80,.37,.94
2019,.98,1.20,.75,1.42,.89,.65,2.74,1.42,.99,.89,.90,.75,.39,.82
2020,1.01,1.34,.68,1.66,.86,.57,2.87,1.81,1.18,.87,.84,.59,.39,.88
2021,.85,1.13,.56,1.42,.65,.53,2.06,1.35,1.26,.71,.60,.73,.32,.29
