Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.50,-.22,-.29,-.06,-.16,-.17,-.25,-.22,-.30,-.41,-.39,-.28,***,***,-.19,-.19,-.31
1881,-.31,-.22,-.04,.01,.04,-.33,.08,-.05,-.28,-.44,-.37,-.23,-.18,-.19,-.31,.00,-.10,-.36
1882,.25,.20,.02,-.32,-.24,-.31,-.29,-.14,-.24,-.52,-.33,-.67,-.21,-.18,.08,-.18,-.25,-.36
1883,-.58,-.67,-.16,-.29,-.25,-.14,-.04,-.23,-.33,-.16,-.42,-.16,-.28,-.33,-.64,-.23,-.14,-.30
1884,-.16,-.12,-.65,-.60,-.37,-.42,-.42,-.52,-.46,-.45,-.58,-.47,-.43,-.41,-.14,-.54,-.46,-.49
1885,-1.01,-.46,-.24,-.49,-.59,-.45,-.35,-.42,-.40,-.37,-.38,-.11,-.44,-.47,-.65,-.44,-.41,-.39
1886,-.74,-.84,-.71,-.37,-.34,-.38,-.15,-.43,-.33,-.32,-.41,-.22,-.44,-.43,-.57,-.47,-.32,-.35
1887,-1.08,-.71,-.44,-.39,-.26,-.21,-.25,-.56,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.34,-.33
1888,-.49,-.62,-.64,-.22,-.15,-.03,.00,-.22,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.09,-.21,-.31,-.42,-.62,-.55,-.18,-.15,-.08,.03,-.12,-.45
1890,-.64,-.58,-.47,-.25,-.36,-.16,-.24,-.40,-.36,-.10,-.63,-.48,-.39,-.40,-.59,-.36,-.27,-.36
1891,-.47,-.68,-.17,-.36,-.16,-.14,-.13,-.13,-.08,-.29,-.53,-.04,-.27,-.30,-.54,-.23,-.13,-.30
1892,-.51,-.18,-.68,-.46,-.24,-.06,-.38,-.34,-.21,-.28,-.83,-.66,-.40,-.35,-.24,-.46,-.26,-.44
1893,-1.51,-.96,-.32,-.30,-.43,-.17,-.14,-.35,-.29,-.28,-.33,-.61,-.48,-.48,-1.04,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.41,-.20,-.27,-.33,-.27,-.48,-.35,-.39,-.41,-.65,-.33,-.30,-.36
1895,-.70,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.07,-.10,-.13,-.23,-.31,-.32,-.62,-.33,-.23,-.10
1896,-.37,-.18,-.49,-.60,-.17,.06,.00,-.11,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.42,-.02,-.10
1897,-.40,-.42,-.39,-.05,.13,-.06,.04,-.07,-.07,-.17,-.27,-.30,-.17,-.16,-.34,-.10,-.03,-.17
1898,.04,-.45,-.80,-.29,-.29,-.09,-.13,-.19,-.18,-.37,-.51,-.27,-.29,-.30,-.24,-.46,-.14,-.35
1899,-.13,-.65,-.59,-.22,-.25,-.36,-.17,-.07,-.06,.04,.35,-.47,-.22,-.20,-.35,-.35,-.20,.11
1900,-.63,-.15,.05,-.11,-.05,-.11,-.12,-.09,-.04,.22,-.13,-.03,-.10,-.14,-.42,-.03,-.11,.01
1901,-.34,-.11,.26,.10,-.11,.00,.01,-.16,-.28,-.32,-.20,-.40,-.13,-.10,-.16,.08,-.05,-.27
1902,-.14,-.03,-.37,-.37,-.40,-.40,-.33,-.30,-.34,-.33,-.47,-.60,-.34,-.32,-.19,-.38,-.34,-.38
1903,-.23,.11,-.17,-.46,-.44,-.46,-.43,-.56,-.49,-.46,-.41,-.57,-.38,-.38,-.24,-.36,-.48,-.45
1904,-.75,-.62,-.46,-.50,-.44,-.49,-.59,-.55,-.64,-.39,-.09,-.34,-.49,-.51,-.65,-.47,-.54,-.37
1905,-.41,-.82,-.23,-.46,-.28,-.28,-.22,-.24,-.19,-.28,.09,-.16,-.29,-.31,-.53,-.32,-.25,-.13
1906,-.56,-.54,-.21,.04,-.25,-.12,-.27,-.17,-.25,-.18,-.41,.03,-.24,-.26,-.42,-.14,-.19,-.28
1907,-.58,-.73,-.30,-.45,-.59,-.52,-.40,-.39,-.41,-.20,-.56,-.59,-.48,-.42,-.43,-.45,-.44,-.39
1908,-.54,-.27,-.70,-.47,-.29,-.30,-.36,-.57,-.31,-.45,-.63,-.56,-.46,-.46,-.47,-.49,-.41,-.47
