Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.07,-.04,-.14,.00,.06,-.04,***,***,-.03,-.12,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.03,.00,.00,.10,.00,.00,-.03,.10,-.05,-.01
1882,.07,.07,.07,-.02,-.04,-.15,-.04,.01,-.04,.04,-.01,-.07,-.01,.00,.08,.01,-.06,.00
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.04,-.06,-.06,-.06,-.06,-.08,-.05,-.07
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.07,-.11,-.06,-.10,-.15,-.15,-.14,-.06,-.21,-.19,-.09
1885,-.20,-.23,-.30,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.33,-.14
1886,-.14,-.20,-.16,-.20,-.15,-.32,-.21,-.19,-.14,-.24,-.15,-.28,-.20,-.18,-.14,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.29,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.25
1888,-.21,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.12,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.35,-.43,-.33,-.32,-.39,-.38,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.29,-.23,-.22,-.23,-.16,-.11,-.05,-.19,-.20,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.23,-.38,-.26,-.21,-.13,-.01,-.03,-.11,-.15,-.15,-.07,-.19,-.28,-.05
1893,-.13,-.18,-.12,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.03,-.02,-.15,-.16,-.14,-.20,-.21,-.09
1894,-.14,-.15,-.24,-.35,-.34,-.40,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.11,-.31,-.29,-.14
1895,-.13,-.06,-.16,-.24,-.24,-.21,-.14,-.06,-.18,-.12,-.20,-.05,-.15,-.15,-.08,-.21,-.14,-.17
1896,-.09,-.07,-.04,-.01,-.15,-.29,-.05,.00,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.11,.00,-.16,-.16,-.08,-.12,-.10,-.10,-.10,-.13,-.06,-.04,.09,-.02,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.33,-.36,-.25,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.11,-.05,-.12,-.10,-.06,-.14,-.16,-.18,-.18,-.18,-.09
1900,-.11,.02,-.05,-.08,-.13,-.09,-.13,-.08,-.06,-.02,.00,-.10,-.07,-.07,-.05,-.09,-.10,-.03
1901,-.11,-.13,-.15,-.15,-.18,-.24,-.29,-.24,-.17,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.26,-.19
1902,-.19,-.15,-.18,-.18,-.25,-.23,-.22,-.31,-.24,-.27,-.26,-.23,-.22,-.22,-.16,-.20,-.25,-.25
1903,-.25,-.23,-.30,-.36,-.37,-.40,-.28,-.36,-.51,-.48,-.44,-.47,-.37,-.35,-.24,-.34,-.34,-.48
1904,-.52,-.57,-.57,-.51,-.60,-.48,-.43,-.44,-.48,-.39,-.26,-.32,-.46,-.48,-.52,-.56,-.45,-.38
1905,-.28,-.36,-.21,-.22,-.29,-.27,-.30,-.17,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.25,-.20
1906,.01,-.05,-.17,-.15,-.27,-.28,-.19,-.24,-.32,-.24,-.36,-.34,-.22,-.19,-.04,-.20,-.24,-.31
1907,-.28,-.30,-.25,-.30,-.35,-.33,-.30,-.30,-.29,-.26,-.37,-.36,-.31,-.31,-.31,-.30,-.31,-.31
1908,-.35,-.39,-.41,-.41,-.47,-.47,-.35,-.36,-.41,-.44,-.42,-.44,-.41,-.40,-.37,-.43,-.39,-.42
1909,-.51,-.46,-.42,-.53,-.59,-.52,-.45,-.33,-.41,-.46,-.53,-.55,-.48,-.47,-.47,-.51,-.43,-.47
1910,-.50,-.46,-.53,-.45,-.39,-.33,-.31,-.34,-.35,-.51,-.54,-.54,-.44,-.44,-.50,-.45,-.33,-.47
1911,-.55,-.57,-.59,-.63,-.59,-.67,-.47,-.45,-.44,-.34,-.23,-.12,-.47,-.51,-.55,-.60,-.53,-.34
1912,-.18,-.14,-.17,-.20,-.30,-.34,-.32,-.32,-.34,-.31,-.27,-.30,-.26,-.25,-.15,-.22,-.32,-.31
1913,-.26,-.27,-.40,-.30,-.33,-.41,-.21,-.20,-.26,-.24,-.25,-.16,-.27,-.29,-.27,-.34,-.27,-.25
1914,-.10,-.10,-.13,-.21,-.24,-.28,-.14,-.06,-.04,-.05,-.08,-.01,-.12,-.13,-.12,-.19,-.16,-.06
