Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.17,-0.28,-0.06,-0.36,-0.13,-0.03,-0.8,-0.47,-0.27,-0.14,-0.11,-0.06,0.05,0.68
1881,-0.09,-0.17,-0.01,-0.34,0.1,-0.08,-0.91,-0.45,-0.2,0.11,0.1,-0.08,-0.07,0.6
1882,-0.11,-0.21,-0.02,-0.31,-0.05,0,-1.4,-0.27,-0.15,-0.04,-0.05,-0.01,0.04,0.63
1883,-0.18,-0.28,-0.08,-0.34,-0.17,-0.02,-0.16,-0.55,-0.25,-0.18,-0.16,-0.06,0.07,0.5
1884,-0.29,-0.42,-0.16,-0.6,-0.15,-0.15,-1.28,-0.64,-0.47,-0.13,-0.17,-0.21,-0.02,0.65
1885,-0.34,-0.44,-0.25,-0.65,-0.13,-0.29,-1.49,-0.68,-0.46,-0.06,-0.21,-0.35,-0.15,0.83
1886,-0.32,-0.43,-0.21,-0.57,-0.2,-0.23,-1.57,-0.5,-0.4,-0.21,-0.19,-0.22,-0.2,0.59
1887,-0.37,-0.44,-0.3,-0.53,-0.3,-0.29,-1.75,-0.51,-0.3,-0.29,-0.31,-0.3,-0.26,0.32
1888,-0.18,-0.23,-0.12,-0.42,0.1,-0.3,-1.29,-0.43,-0.24,0.07,0.13,-0.33,-0.22,0.16
1889,-0.11,-0.17,-0.05,-0.29,0.08,-0.17,-0.67,-0.22,-0.27,0.02,0.14,-0.17,-0.15,0.45
1890,-0.35,-0.38,-0.33,-0.45,-0.37,-0.23,-1.12,-0.56,-0.27,-0.27,-0.47,-0.19,-0.27,0.15
1891,-0.23,-0.26,-0.2,-0.42,-0.08,-0.23,-1.1,-0.34,-0.35,0,-0.17,-0.2,-0.24,-0.15
1892,-0.28,-0.4,-0.16,-0.43,-0.3,-0.09,-1.13,-0.67,-0.16,-0.34,-0.27,0,-0.21,0.09
1893,-0.31,-0.47,-0.16,-0.49,-0.37,-0.06,-0.6,-0.55,-0.46,-0.43,-0.31,0.05,-0.2,-0.04
1894,-0.3,-0.38,-0.22,-0.31,-0.34,-0.25,-0.9,-0.33,-0.18,-0.49,-0.18,-0.16,-0.35,-0.37
1895,-0.23,-0.3,-0.15,-0.4,-0.08,-0.27,-0.65,-0.53,-0.26,-0.15,0,-0.21,-0.31,-0.58
1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.84,-0.37,-0.21,0.05,0.15,-0.17,-0.13,0.26
